Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
249,"(6000, 'spectrogram')","[(64, 3, 'sigmoid'), (8, 3, 'relu')]",1.0,1.0,1.0,37270544
250,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.8227272727272728,1.0,0.025,297978060
251,"(6000, 'spectrogram')","[(32, 3, 'relu'), (4, 3, 'relu')]",0.8181818181818182,0.0,0.0,18632232
252,"(6000, 'spectrogram')","[(64, 3, 'sigmoid'), (16, 3, 'relu')]",1.0,1.0,1.0,74535088
253,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (16, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,73088944
254,"(6000, 'spectrogram')","[(64, 3, 'sigmoid'), (16, 3, 'relu')]",0.8181818181818182,0.0,0.0,74535088
255,"(6000, 'spectrogram')","[(64, 3, 'relu')]",1.0,1.0,1.0,303795404
256,"(6000, 'spectrogram')","[(64, 3, 'relu'), (16, 3, 'relu')]",0.990909090909091,1.0,0.95,74534936
257,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (16, 3, 'relu'), (4, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,17593288
258,"(6000, 'spectrogram')","[(64, 3, 'relu'), (16, 3, 'relu')]",0.9863636363636363,1.0,0.925,74534936
259,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,303795544
260,"(6000, 'spectrogram')","[(64, 3, 'relu')]",1.0,1.0,1.0,303795404
261,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (16, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,73088944
262,"(6000, 'spectrogram')","[(64, 3, 'relu'), (2, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,9149048
263,"(6000, 'spectrogram')","[(64, 3, 'relu'), (16, 3, 'relu')]",0.9954545454545455,0.975609756097561,1.0,74534936
264,"(6000, 'spectrogram')","[(64, 3, 'relu'), (16, 3, 'relu')]",0.9954545454545455,1.0,0.975,74534936
265,"(6000, 'spectrogram')","[(64, 3, 'relu')]",1.0,1.0,1.0,303795404
266,"(6000, 'spectrogram')","[(32, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,151899084
267,"(6000, 'spectrogram')","[(64, 3, 'relu'), (8, 5, 'relu')]",1.0,1.0,1.0,36578040
268,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (32, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,146167792
269,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (16, 3, 'relu')]",1.0,1.0,1.0,73088944
270,"(6000, 'spectrogram')","[(64, 3, 'relu'), (16, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,74535088
271,"(6000, 'spectrogram')","[(64, 3, 'relu')]",1.0,1.0,1.0,303795404
272,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795404
273,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,18291944
274,"(6000, 'spectrogram')","[(64, 3, 'relu')]",1.0,1.0,1.0,303795404
